FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"Abalone noodles, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (502g),32.68,32.63,2.46,243.97,,18.22,2.46,1.91,0.75,1.66,4.52,True,True,True,False
"Abalone, canned",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (64g),0.64,,0.0,64.64,,13.95,0.64,,,,0.32,True,True,True,False
"Abalone, canned, brine only",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Can (244g),6.34,0.0,0.0,75.64,,12.2,0.0,0.0,0.0,0.0,0.1,True,True,True,False
"Abalone, canned, drained",FISH AND FISH PRODUCTS,"Others (squids, algae, plankton etc)",Can (212g),5.94,163.24,0.0,178.08,,36.46,0.0,0.25,0.04,0.36,1.06,True,True,True,False
"Abalone, dried",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Teaspoon (10.5g),0.3,125.9,0.0,31.82,,6.77,0.3,0.05,0.05,0.11,0.21,True,True,True,False
"Abalone, raw",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Whole (64g),0.38,77.44,0.0,39.04,,8.32,,0.06,0.06,0.13,0.26,True,True,True,False
"Abalone, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (203.71g),2.04,128.34,1.02,93.71,,12.22,0.81,1.57,1.0,1.36,4.07,True,True,True,False
Abok abok sago,OTHER MIXED ETHNIC DISHES,"Local cakes, desserts and snacks",Piece (1g),0.5,0.0,0.04,3.72,,0.03,,0.01,0.0,0.15,0.17,True,True,True,False
Acai bowl,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-soup (16 and 1/2 cm) (347g),54.13,,7.98,374.76,,7.98,47.89,6.25,3.4,4.23,13.91,True,True,True,False
Achar,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-23cm (174.3g),40.09,0.0,3.31,185.19,,3.31,,0.87,0.7,1.22,3.49,True,True,True,False
"African bream, fried in chilli",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (60g),5.4,,0.06,176.39,,14.34,,,,,10.8,True,True,True,False
"Agar-agar, plain","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),9.3,0.0,0.25,38.5,,0.1,7.85,0.01,0.0,0.08,0.1,True,True,True,False
Agedeshi tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (12g),0.63,0.1,0.07,15.08,,0.47,0.24,0.35,0.46,0.33,1.19,True,True,True,False
Aiyu Dessert with Red Bean Toppings,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (359g),37.7,,4.31,376.95,,1.8,33.03,9.44,8.76,6.17,24.38,True,True,True,False
"Ajinomoto, MSG",MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Teaspoon (5g),0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False
Ale,BEVERAGES,Alcoholic beverages,Can (500g),7.0,0.0,0.0,177.05,,2.0,7.0,0.0,0.0,0.0,0.0,True,True,True,False
"Allspice, ground",MISCELLANEOUS,"Herbs, spices, condiments",Tablespoon (6g),3.03,0.0,1.3,15.78,,0.37,0.0,0.04,0.14,0.15,0.52,True,True,True,False
Almond jelly,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (200g),32.8,3.8,0.0,150.0,,2.4,31.0,0.28,0.04,0.7,1.2,True,True,True,False
Almond paste,"SUGARS, SWEETS AND CONFECTIONERY","Desserts (puddings, mousses)",Bowl-dessert (15 cm) (262g),23.06,,1.57,214.84,,5.5,18.08,7.86,2.7,0.71,11.27,True,True,True,False
Aloe vera,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Slice (100g),0.87,0.0,0.02,3.5,,0.0,0.87,0.0,0.0,0.0,0.0,True,True,True,False
Aloe vera drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (523g),43.93,0.0,0.52,172.59,,0.0,41.84,0.0,0.0,0.0,0.0,True,True,True,False
Aloe vera with jelly dessert,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (460.79g),31.52,0.0,0.23,126.07,,0.0,31.52,0.0,0.0,0.0,0.0,True,True,True,False
Amocan Singapore Rendang Paste,MISCELLANEOUS,"Sauces, gravies (manufactured)",Tablespoon (15g),3.92,0.3,0.77,44.7,,0.42,1.1,,,1.95,3.05,True,True,True,False
"Anchovy, canned in oil, drained",FISH AND FISH PRODUCTS,Fish and roe,Whole (3.6g),0.0,2.77,0.0,6.56,,0.91,0.0,0.13,0.1,0.07,0.32,True,True,True,False
"Anchovy, dried, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (27g),0.0,20.25,0.0,125.28,,14.29,0.0,3.11,0.78,3.35,7.57,True,True,True,False
"Anchovy, dried, with peanut, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,1 portion (100g),6.5,88.0,5.5,554.97,,37.1,4.2,16.8,10.5,13.1,42.3,True,True,True,False
"Anchovy, fresh, whole",FISH AND FISH PRODUCTS,Fish and roe,Whole (11.2g),0.08,6.83,0.0,8.86,,1.86,0.08,0.03,0.03,0.05,0.12,True,True,True,False
"Anchovy, minus head and entrail, dried, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (.3g),0.0,0.58,0.0,0.79,,0.18,,0.0,0.0,0.0,0.01,True,True,True,False
"Anchovy, whole, dried, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (.1g),0.0,0.06,0.0,0.26,,0.06,,0.0,0.0,0.0,0.0,True,True,True,False
"Ang koo kueh, green bean fillling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (51g),24.48,-0.51,1.53,144.84,,2.09,4.13,1.73,0.5,1.89,4.28,True,True,True,False
"Ang koo kueh, peanut filling","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (67.8g),26.31,0.0,3.25,239.33,,6.03,,4.34,3.25,4.07,12.2,True,True,True,False
"Anise seeds, dried",MISCELLANEOUS,"Herbs, spices, condiments",Teaspoon (2.1g),1.05,0.0,0.31,7.08,,0.37,,0.21,0.07,0.01,0.33,True,True,True,False
"Apple Dippers with Caramel Sauce, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (89g),7.0,0.0,1.0,32.93,,0.0,15.33,0.0,0.0,0.0,0.0,True,True,True,False
Apple crumble,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (146.04g),49.11,11.76,6.05,353.5,,5.84,32.55,2.45,0.86,11.54,14.85,True,True,True,False
Apple juice,BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),24.75,0.0,0.0,100.0,,0.0,24.75,0.0,0.0,0.0,0.0,True,True,True,False
Apple juice drink,BEVERAGES,Non-alcoholic beverages,Cup (261g),26.36,0.0,0.0,104.27,,0.0,26.36,0.0,0.0,0.0,0.0,True,True,True,False
"Apple juice drink, with no added sugar",BEVERAGES,Non-alcoholic beverages,Glass (250ml) (250g),21.25,0.0,0.5,85.0,,0.0,21.25,0.0,0.0,0.0,0.0,True,True,True,False
