FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"Biscuit, lemon puff",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (12g),8.52,2.76,0.13,54.72,5.88,0.5,3.72,0.64,0.14,1.15,2.06,True,True,True,False
"Biscuit, macaroon","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (9.5g),5.44,0.0,0.82,46.36,,0.48,3.37,0.49,0.07,1.75,2.43,True,True,True,False
"Biscuit, marie",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7g),5.46,1.05,0.14,30.87,3.92,0.5,1.67,0.32,0.06,0.41,0.78,True,True,True,False
"Biscuit, oatmeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),6.32,2.2,0.25,46.7,,0.57,3.09,0.69,0.14,1.22,2.14,True,True,True,False
"Biscuit, ovaltine",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (7.6g),5.4,0.0,0.4,36.57,,0.6,1.0,,,0.08,1.4,False,False,False,False
"Biscuit, peanuts and coconut",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (21g),14.24,7.14,0.5,94.5,,1.97,6.32,1.41,0.36,1.53,3.3,True,True,True,False
"Biscuit, rice cracker",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Slice (12.5g),10.2,0.0,0.28,49.63,10.38,0.95,0.23,0.18,0.18,0.08,0.43,True,True,True,False
"Biscuit, sandwiched with cream and jam filling","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (16g),10.26,3.84,0.24,76.48,,0.67,5.36,1.15,0.22,2.18,3.73,True,True,True,False
"Biscuit, sandwiched with peanut butter filling",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (12g),6.38,0.0,0.23,58.44,,1.28,2.51,1.29,0.55,1.25,3.1,True,True,True,False
"Biscuit, savoury, cheese-flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (2.2g),1.27,0.31,0.07,10.74,,0.28,0.07,0.11,0.04,0.31,0.49,False,False,False,False
"Biscuit, savoury, flavoured","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (2.5g),1.48,0.2,0.09,12.43,,0.24,0.11,0.22,0.08,0.27,0.6,True,True,True,False
"Biscuit, savoury, plain",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Whole (5g),3.43,0.15,0.14,20.3,,0.5,0.11,0.11,0.05,0.24,0.47,True,True,True,False
"Biscuit, savoury, rye crispbread","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (7.5g),4.54,0.0,1.08,25.43,,0.81,0.14,0.02,0.08,0.04,0.19,True,True,True,False
"Biscuit, savoury, salada style",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (15g),9.3,2.4,0.54,62.1,,1.29,0.06,0.62,0.2,0.89,2.04,True,True,True,False
"Biscuit, savoury, wholemeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (20g),12.12,2.8,1.6,83.6,,2.22,0.1,0.76,0.28,1.06,2.52,True,True,True,False
"Biscuit, savoury, wholemeal wheat crispbread","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (6g),3.82,0.0,0.75,24.48,,0.59,0.08,,0.1,0.23,0.58,True,True,True,False
"Biscuit, shortbread style","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (15g),9.3,4.35,0.29,76.05,,0.89,2.91,1.1,0.35,2.25,3.95,True,True,True,False
"Biscuit, soda (old)",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (8g),5.86,0.24,0.22,32.64,,0.7,0.18,0.2,0.09,0.44,0.73,True,True,True,False
"Biscuit, sultana",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (7g),5.61,,0.08,29.4,,0.44,,0.33,0.07,0.15,0.58,True,True,True,False
"Biscuit, sweet, ginger flavoured",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),7.11,1.0,0.19,42.3,,0.53,3.31,0.52,0.1,0.63,1.32,True,True,True,False
"Biscuit, sweet, plain","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Piece (8.5g),5.99,1.28,0.17,38.51,,0.54,1.84,0.54,0.09,0.67,1.37,True,True,True,False
"Biscuit, sweet, wheatmeal",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),6.7,1.8,0.56,46.0,,0.76,2.16,0.65,0.12,0.86,1.71,True,True,True,False
"Biscuit, sweet, with dried fruit","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (10g),6.34,2.4,0.24,47.1,,0.54,2.55,0.84,0.13,1.12,2.18,True,True,True,False
"Biscuit, sweet, with fruit and nut","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (13g),7.54,4.29,0.25,63.18,,0.78,3.22,1.33,0.2,1.69,3.35,True,True,True,False
"Biscuit, sweet, with nuts","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (11g),6.82,3.74,0.26,54.01,,0.74,3.03,1.09,0.28,1.18,2.66,True,True,True,False
"Biscuit, vanilla flavoured, sandwiched with cream filling","SUGARS, SWEETS AND CONFECTIONERY",Confectionery (eg chocolates),Whole (15g),9.57,3.45,0.23,73.05,,0.74,4.71,0.99,0.17,2.3,3.6,True,True,True,False
"Biscuit, wafer",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Cube/Square (4g),2.3,0.0,0.14,20.28,,0.24,1.23,0.19,0.06,0.88,1.13,True,True,True,False
"Biscuit, wafer (old)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (9g),5.74,0.18,0.2,45.18,,0.48,2.29,0.73,0.17,1.26,2.25,True,True,True,False
"Biscuit, with cream filling",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Piece (10g),6.52,0.0,0.12,49.9,,0.69,2.35,0.82,0.21,1.3,2.33,False,False,False,False
"Biscuits, high calcium",CEREAL AND CEREAL PRODUCTS,Biscuits(eg crackers),Packet (27g),17.66,,0.59,136.08,,1.84,2.3,2.5,0.7,2.95,6.45,True,True,True,False
"Biscuits, with icing on top","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (130g),107.12,0.0,3.38,539.5,,7.28,37.44,2.95,1.2,4.56,9.23,True,True,True,False
"Bitter gourd, in gravy (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (55.06g),1.05,0.0,2.48,87.55,,1.16,1.05,1.48,1.44,5.43,8.75,True,True,True,False
"Black bean, preserved","NUTS AND SEEDS, PULSES AND PRODUCTS",Seeds and products,Sachet (25g),2.25,0.0,2.2,66.75,,7.2,0.9,0.49,1.12,0.41,2.13,True,True,True,False
Black carrot cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (350g),65.77,205.8,1.54,556.47,,13.16,13.62,11.94,3.54,10.05,26.74,True,True,True,False
"Black chicken herbal soup, soup only","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (374g),6.36,0.0,0.0,48.62,,3.74,6.36,0.0,0.0,0.0,0.75,True,True,True,False
Black pearl cereal beverage,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (30g),19.71,0.0,2.7,129.9,,3.6,8.37,1.53,1.2,0.6,4.08,True,True,True,False
Black pepper crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (266g),0.0,234.08,0.0,351.12,,50.54,0.0,4.52,1.06,6.12,16.68,True,True,True,False
"Black pomfret fish, raw",FISH AND FISH PRODUCTS,Fish and roe,Whole (352g),1.41,170.37,0.0,418.88,,67.23,0.0,4.33,0.88,9.47,16.19,True,True,True,False
"Black pomfret, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Whole (202.7g),2.03,97.3,0.0,456.08,,63.85,2.03,5.09,1.28,6.43,13.38,True,True,True,False
"Black pomfret, in chilli, fried",OTHER MIXED ETHNIC DISHES,Fish and seafood based dishes,Piece (95g),3.23,84.55,2.0,230.01,,23.09,,4.55,1.81,6.82,13.87,True,True,True,False
Black tea (no sugar),BEVERAGES,Non-alcoholic beverages,Cup (250g),0.25,0.0,0.0,2.5,,0.25,,0.0,0.0,0.0,0.0,True,True,True,False
"Blackberries, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (150g),14.42,0.0,7.95,64.5,,2.09,7.32,0.07,0.42,0.02,0.74,True,True,True,False
"Blackberry, stewed with sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (258g),38.18,0.0,14.71,156.63,,2.58,38.18,,0.26,,0.26,True,True,True,False
"Blackberry, stewed without sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (258g),14.19,0.0,16.25,67.83,,2.84,5.93,0.0,0.26,0.0,0.26,True,True,True,False
"Blood, braised in dark sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-16cm (160g),0.0,4.8,0.0,70.4,,15.2,0.0,0.32,0.0,0.48,0.96,True,True,True,False
"Blood, in dark sauce, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (160g),0.0,4.8,0.0,70.4,,15.2,0.0,0.32,0.0,0.48,0.96,True,True,True,False
Bloody mary,BEVERAGES,Alcoholic beverages,Glass (250ml) (148g),4.88,0.0,0.38,115.44,,0.74,,0.02,0.04,0.01,0.15,True,True,True,False
Blue Elephant Royal Thai Cuisine Hot Green Curry Paste,MISCELLANEOUS,"Sauces, gravies (manufactured)",Whole (70g),10.15,,5.67,95.2,,2.73,1.12,,,0.7,4.83,True,True,True,False
"Blueberries, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (1.36g),0.16,0.0,0.03,0.78,,0.01,0.14,0.0,0.0,0.0,0.0,True,True,True,False
Blueberry filling,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (262g),58.95,0.0,1.31,288.2,,1.31,49.78,,,,0.52,True,True,True,False
Blueberry jam waffle,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (126g),51.71,93.98,1.78,393.13,,8.53,23.66,4.74,1.05,10.6,17.49,True,True,True,False
Bo Luo Bao (Pineapple Bun),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (77g),38.42,,1.0,322.63,,6.47,10.24,4.76,1.45,9.3,15.87,True,True,True,False
Boiled beef ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Whole (41g),2.46,36.9,0.0,58.63,,5.54,0.04,1.23,0.12,1.48,2.95,True,True,True,False
Boiled black chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (106g),0.0,61.48,0.0,182.32,,21.41,0.0,4.07,2.98,2.95,10.81,True,True,True,False
Boiled chicken intestines,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (48g),0.0,150.72,0.0,66.72,,5.9,0.0,2.02,0.86,1.63,4.8,True,True,True,False
Boiled clams with shells,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (774g),5.42,224.46,0.0,541.8,,120.74,0.0,0.93,0.15,2.09,4.64,True,True,True,False
Boiled crocodile meat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (175g),1.23,40.25,0.0,383.25,,53.55,0.0,7.95,1.24,6.74,18.38,True,True,True,False
Boiled kampung chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (148g),0.0,170.05,0.0,287.12,,38.04,0.0,6.1,2.34,5.48,14.95,True,True,True,False
Boiled spicy potato,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (84g),12.68,0.0,2.1,59.64,,1.76,0.0,0.08,0.0,0.08,0.25,True,True,True,False
"Bologna, beef",MEAT AND MEAT PRODUCTS,Beef and veal,Slice (23g),0.46,12.88,0.0,72.07,,2.69,0.46,3.06,0.25,2.69,6.52,True,True,True,False
"Bologna, pork, round, mildly seasoned, cured",MEAT AND MEAT PRODUCTS,Pork,Slice (28g),0.2,16.52,0.0,69.26,,4.28,,2.74,0.59,1.93,5.57,True,True,True,False
"Bologna, turkey, round, pre cooked",MEAT AND MEAT PRODUCTS,"Poultry (chicken, duck, turkey, pigeon etc)",Slice (28g),0.28,27.72,0.0,55.88,,3.84,0.0,2.04,0.67,1.54,4.26,True,True,True,False
"Bolognese pasta sauce, with mushroom",MISCELLANEOUS,"Sauces, gravies (manufactured)",Cup (250g),17.5,0.0,4.25,125.0,,4.75,17.5,2.13,1.15,0.58,4.0,True,True,True,False
Bombay Halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (108g),78.41,8.64,1.08,389.88,,0.97,56.27,9.72,0.49,3.86,7.99,True,True,True,False
Boneless Chicken Wings - Original,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (32g),3.49,,0.16,93.76,,6.88,,2.62,1.09,2.1,5.82,True,True,True,False
Boonthi,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (50g),28.7,0.0,1.95,234.0,,2.2,21.9,2.5,1.51,5.19,12.25,True,True,True,False
Bragg liquid aminos,MISCELLANEOUS,"Stock cubes / flavourings, essence, yeast extracts,etc",Teaspoon (5g),0.0,,,0.0,,0.0,,,,,,True,True,True,False
Braised beef stomach,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (225g),8.33,65.25,5.85,432.0,,38.93,3.15,,1.46,9.72,27.23,True,True,True,False
Braised beef tendon noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (444g),69.26,93.24,12.43,461.76,,33.74,,1.33,1.33,2.66,5.33,True,True,True,False
Braised chicken rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),63.53,36.15,2.32,590.19,,26.27,0.87,11.96,4.08,8.25,25.68,True,True,True,False
"Braised chicken rice, skinless chicken","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (291g),68.91,26.48,1.69,503.14,,23.66,1.48,6.72,2.36,4.89,14.78,True,True,True,False
Braised chicken with sea cucumber,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (89.81g),1.84,54.7,1.01,132.65,,10.67,1.14,4.31,1.72,2.64,9.18,True,True,True,False
Braised duck,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (14.96g),0.09,16.31,0.0,37.83,,2.93,,1.06,0.34,1.26,2.84,True,True,True,False
Braised duck feet,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (28g),0.34,2.8,0.0,46.2,,5.07,0.34,1.29,0.62,0.7,2.74,True,True,True,False
Braised duck gizzards,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (47g),0.0,51.23,0.0,70.5,,14.57,0.0,0.52,0.24,0.52,1.32,True,True,True,False
Braised duck rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (417g),83.44,100.41,0.75,748.43,,26.48,,15.14,4.46,11.38,33.61,True,True,True,False
Braised duck tongue,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (81g),1.3,58.32,0.0,157.95,,10.29,1.3,6.08,1.94,3.65,12.39,True,True,True,False
Braised duck with yam rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (350g),95.55,21.0,3.5,556.5,,21.0,1.75,2.8,1.4,2.59,9.8,True,True,True,False
Braised duck without skin,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,One quarter (248g),0.0,279.25,0.0,375.97,,61.53,0.0,6.2,2.53,4.91,14.43,True,True,True,False
Braised egg in soya sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Whole (52g),0.62,238.16,0.0,94.64,,7.8,0.62,2.87,0.87,0.87,6.81,True,True,True,False
Braised large intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (101g),0.0,134.33,0.0,164.63,,12.02,0.0,4.24,1.21,6.87,12.93,True,True,True,False
Braised lung in dark sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (91g),0.0,83.72,0.0,73.71,,12.83,0.0,1.0,0.18,1.27,2.55,True,True,True,False
Braised mixed mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (80g),0.54,3.9,1.56,45.44,,1.1,0.21,1.3,1.94,0.86,4.32,True,True,True,False
Braised mixed vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (372.7g),9.73,0.0,9.91,141.63,,2.98,7.38,3.88,2.42,3.54,10.44,True,True,True,False
Braised pig trotter with mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (284g),9.71,236.66,8.8,582.2,,49.36,4.09,18.6,5.4,12.92,38.74,True,True,True,False
Braised pork rib noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (531g),66.85,104.02,3.29,636.56,,32.66,24.16,8.34,2.97,7.49,25.12,True,True,True,False
Braised pork ribs with black bean sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (105.46g),2.51,66.62,1.59,185.93,,16.55,1.97,4.99,2.06,4.58,12.19,True,True,True,False
"Braised pork ribs, with black mushroom and taucheo","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (123.45g),3.09,88.33,2.09,232.09,,21.84,2.48,5.93,2.83,5.26,14.72,True,True,True,False
Braised pork with black fungus,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (359.03g),9.69,219.01,2.51,829.36,,45.24,6.1,28.61,12.75,23.48,67.86,True,True,True,False
Braised pork with chinese cabbage,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (111.71g),1.16,25.13,0.97,120.09,,10.48,0.27,3.36,1.66,2.79,8.18,True,True,True,False
Braised small intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (74.3g),0.0,150.83,0.0,98.82,,11.15,0.0,2.01,0.52,3.27,6.02,True,True,True,False
Braised soya sauce chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (33.9g),0.2,22.71,0.0,68.38,,6.34,0.14,2.14,0.85,1.42,4.68,True,True,True,False
Braised taupok with vegetable,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (80g),1.2,0.0,1.6,137.98,,6.6,0.84,4.3,3.13,3.91,11.86,True,True,True,False
Braised tongue,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (69g),0.0,44.85,0.0,113.16,,10.28,0.0,3.66,0.76,3.24,8.0,True,True,True,False
Brandy,BEVERAGES,Alcoholic beverages,1 portion (30g),0.09,0.0,0.0,64.38,,0.0,0.09,0.0,0.0,0.0,0.0,True,True,True,False
"Bread roll, white",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (90g),46.44,0.0,3.15,261.17,,9.18,3.06,0.9,1.44,0.54,3.42,True,True,True,False
"Bread roll, white, soft",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (51g),26.32,0.0,1.99,136.68,,4.59,1.12,0.51,0.36,0.51,2.14,True,True,True,False
"Bread roll, wholemeal",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (90g),39.6,0.0,5.13,229.95,,9.0,2.61,0.63,1.08,0.45,2.61,True,True,True,False
"Bread, brown",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),11.73,0.0,1.4,67.52,,2.72,0.42,0.11,0.28,0.14,0.7,True,True,True,False
"Bread, brown, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),11.48,0.0,1.38,66.08,,2.67,0.41,0.12,0.28,0.14,0.69,True,True,True,False
"Bread, butterscotch-flavoured",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),19.57,0.57,0.57,125.4,,3.61,5.09,0.96,0.19,1.94,3.65,True,True,True,False
"Bread, chocolate chip",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (38g),20.9,0.0,1.48,118.94,,3.0,1.03,0.68,0.11,1.6,2.55,False,False,False,False
"Bread, coconut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (45g),21.78,,2.59,233.07,,6.17,,,,,13.5,True,True,True,False
"Bread, focaccia","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (53g),25.55,0.0,1.43,162.71,,5.62,1.01,2.9,0.51,0.63,4.24,True,True,True,False
"Bread, focaccia, with sun-dried tomato","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (80g),23.44,0.0,2.8,244.8,,5.12,2.32,9.14,1.36,3.42,14.56,True,True,True,False
"Bread, french",CEREAL AND CEREAL PRODUCTS,Breads and rolls,1 portion (136g),76.7,0.0,3.26,393.04,,16.05,3.54,0.48,1.07,0.68,2.45,True,True,True,False
"Bread, fruit with nuts and seeds (HCS)",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Cereal & cereal products,Slice (40g),21.04,0.0,1.32,109.2,26.0,4.0,6.24,0.43,0.26,0.3,1.0,True,True,True,False
"Bread, garlic",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (70g),28.21,0.0,2.31,218.4,45.5,6.02,2.45,2.6,3.71,1.75,8.54,True,True,True,False
"Bread, multigrain",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Cereal & cereal products,Slice (32g),15.01,0.0,1.79,84.8,23.36,3.81,0.77,0.44,0.27,0.33,1.06,True,True,True,False
"Bread, oat bran",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),11.94,0.0,1.35,70.8,,3.12,,0.48,0.51,0.21,1.32,True,True,True,False
"Bread, pita",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (small) (28g),15.6,0.0,0.62,77.0,,2.55,0.36,0.03,0.15,0.05,0.34,True,True,True,False
"Bread, raisin",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (33g),16.2,0.0,0.89,88.42,,2.67,4.82,0.33,0.26,0.36,1.25,True,True,True,False
"Bread, rolls",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (43g),22.36,1.72,0.86,133.3,,4.69,2.41,0.81,1.08,0.59,2.8,True,True,True,False
"Bread, ryemeal",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cube/Square (30g),15.12,0.0,0.12,77.37,,3.15,0.6,0.06,0.18,0.06,0.45,True,True,True,False
"Bread, white",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (336g),174.72,0.0,9.07,860.08,241.92,32.59,7.39,1.01,1.34,1.01,3.36,True,True,True,False
"Bread, white (HCS)",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Cereal & cereal products,Slice (28g),12.4,0.0,1.04,70.0,,2.8,0.81,0.17,0.36,0.43,1.01,True,True,True,False
"Bread, white, aerated, high protein",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (21g),8.95,0.0,0.78,53.55,,2.92,0.13,0.13,0.29,0.17,0.61,True,True,True,False
"Bread, white, fibre increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),12.51,0.0,1.41,72.42,,2.88,0.51,0.24,0.33,0.12,0.81,True,True,True,False
"Bread, white, fibre increased, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),11.55,0.0,1.31,66.91,,2.65,0.48,0.21,0.32,0.12,0.76,True,True,True,False
"Bread, white, from bakery shop",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),15.03,0.0,0.72,83.7,21.9,2.58,0.93,0.44,0.24,0.71,1.47,True,True,True,False
"Bread, white, protein increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),12.49,0.0,0.76,68.53,,2.63,0.48,0.14,0.28,0.14,0.64,True,True,True,False
"Bread, white, protein increased, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),12.21,0.0,0.74,67.02,,2.58,0.46,0.14,0.28,0.14,0.62,True,True,True,False
"Bread, white, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (23g),12.81,0.0,0.78,68.34,,2.09,0.97,0.18,0.32,0.12,0.74,True,True,True,False
"Bread, whitemeal, enriched",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (28g),14.22,,0.9,72.24,16.52,2.86,1.04,0.09,0.12,0.19,0.42,True,True,True,False
"Bread, wholemeal (HCS)",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Cereal & cereal products,Slice (28g),13.55,0.0,1.82,74.48,,3.33,0.56,0.15,0.27,0.32,0.78,True,True,True,False
"Bread, wholemeal, enriched",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (31g),11.56,0.0,1.77,74.09,22.01,3.78,0.74,0.11,0.19,0.22,0.56,True,True,True,False
"Bread, wholemeal, fibre increased",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (30g),11.4,0.0,2.19,73.57,,3.48,0.84,0.21,0.42,0.18,1.02,True,True,True,False
"Bread, wholemeal, fibre increased, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (25g),11.33,0.0,2.18,72.97,,3.45,0.85,0.23,0.4,0.18,1.0,True,True,True,False
"Bread, wholemeal, toasted",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (25g),12.0,0.0,1.9,70.7,,2.63,0.88,0.23,0.3,0.13,0.9,True,True,True,False
"Bread, with banana and walnut",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),21.96,0.0,1.16,124.8,,4.72,6.52,1.06,0.65,0.8,2.48,True,True,True,False
"Breadcrumb, commercial",CEREAL AND CEREAL PRODUCTS,Breads and rolls,Cup (90g),59.58,0.0,3.69,322.75,,11.25,3.96,0.63,1.26,0.63,3.24,True,True,True,False
